Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
SLP20D,"Clamshell, featuring a barlock, 34oz, square footprint, 4.63 x 4.63 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",33.8,"4 ,⁄,4 ,⁄,3 ,⁄,11.7 X 11.7 X 7.8",13.3 X 14.3 X 7.9,,,500,19.3,"Cakes,Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP210,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",40.6,"10 ,⁄,5,2 ,⁄,25.6 X 12.7 X 5.6",27.1 X 16.5 X 5.9,,,200,15.8,"Deli,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP212,"Clamshell, featuring a barlock, with 12 compartments, in a rectangular footprint",https://www.inlineplastics.com/product_line/surelock/,12,12 (2 1/8 X 2 3/8 X 3 5/16),,"164.3,4859",32.9 X 26.0 X 8.6,32.9 X 26.0 X 8.6,45/55,100,20.2,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP218,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",114,"5 ,⁄,8 ,⁄,4 ,⁄,14.1 X 21.3 X 11.0",22.5 X 23.5 X 11.4,,,150,21.1,"Cakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP227,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",64.9,"7 ,⁄,7 ,⁄,2 ,⁄,18.4 X 18.9 X 7.1",20.3 X 21.3 X 7.8,,,200,20.7,"Cakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP23,"Clamshell, featuring a barlock, 41oz, square footprint, 6.57 x 6.57 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",40.4,"6 ,⁄,6 ,⁄,1 ,⁄,16.7 X 16.7 X 3.7",19.2 X 20.3 X 4.4,,,300,23.7,"Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
SLP236,"Clamshell, featuring a barlock, 56oz, square footprint, 6 x 6 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",55.1,"6,6,3 ,⁄,15.2 X 15.2 X 8.6",17.8 X 18.7 X 9.2,,,300,22.8,"Cookies & Donuts,Danish & Loafcakes,Produce,Snacks","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP25,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",46.7,"5 ,⁄,5 ,⁄,3 ,⁄,14.0 X 13.8 X 7.9",15.4 X 16.4 X 8.4,,,500,25.4,"Cookies & Donuts,Produce,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP27,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",53.8,"6 ,⁄,4 ,⁄,3 ,⁄,16.0 X 12.4 X 8.4",17.6 X 14.9 X 8.9,,,300,19.5,"Cookies & Donuts,Produce","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP270DFS,"Clamshell, featuring a barlock, with 2 compartments and shelf support",https://www.inlineplastics.com/product_line/surelock/,2,2 (3 1/8 X 7 1/2 X 2 1/4),,"49,1449",7.9 X 19.1 X 5.7,18.4 X 22.2 X 6.0,60/40,300,28.2,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
